review_id,date,user_name,stars,review,product_id,product,reply_by,reply
27872111,2026-04-23,ن.خ,5,بسیار خوش برخود خدا برکت بده به کسب و کارتون 🌹,42255436,کانسیلر پد دار اولیبولا olibolla,علی خلیلی,ممنونم بابت درج نظرتون 
27822542,2026-04-22,پوریا خرمی,5,عالی خیلی زود‌تر هم رسید ب دستم,38804172,برس مو جادویی تاشو,علی خلیلی,"سلام ممنونم که نظرتون رو ثبت کردید 
"
27822538,2026-04-22,پوریا خرمی,5,عالی بود خیلی زودتر هم رسید,40457565,استند بیوتی بلندر کوچک,,
27707818,2026-04-19,حدیث عبادی,5,فکر نمیکردم اینقد کوچیک باشه ولی خوبه ممنونم,37531420,وازلین اصلی مدل Skin Protecting Jelly حجم کوچک,,
27707796,2026-04-19,حدیث عبادی,5,خیلی بوی عالی داشت ارسال خیلی خیلی سریع,37237434,اسپری ضد تعریق مردانه رکسونا Rexona مدل Extreme Protection روسی,علی خلیلی,سلام مرسی که نظرتون رو ثبت کردید
27689395,2026-04-19,آذر اسماعیل‌زاده,5,هنوز استفاده نکردم ولی کرمی از این غرفه خرید کردم خوب بود,39917249,ژل شستشوی صورت سیمپل مدل Moisturising حجم 150 میل,علی خلیلی,سلام مبارکتون باشه تو خرید بعدیتون کد تخفیف دریافت کنید ازم 
27668119,2026-04-18,آذر اسماعیل‌زاده,5,سپاس از غرفه دار عزیز خیلی عالی بود به موقه هم دستم رسید,39896258,ضد آفتاب استلین بی‌رنگ SPF 80 حجم 100 میل,علی خلیلی,سلام ممنونم نظرتون رو ثبت کردید
27653931,2026-04-18,صغری لورگی,5,عالیهععععع پیشنهاد میکنم خرید کنین,40060558,مداد لب میس دمی miss demi,علی خلیلی,سلام سپاسگذارم بابت درج نظر 
27535464,2026-04-14,محمدامین صیادی,5,فوق العاده درجه یک,37237434,اسپری ضد تعریق مردانه رکسونا Rexona مدل Extreme Protection روسی,علی خلیلی,سپاسگذارم بابت درج نظرتون 
27527009,2026-04-14,محمدرضا اسفندیاری,5,این خیلی خوب بود,38753486,ست گوش پاک کن 6 عددی مدل حرفه‌ای استیل,علی خلیلی,مبارکتون باشه خوبه که توجهتون رو جلب کرده 
27527003,2026-04-14,محمدرضا اسفندیاری,5,عالی بود,39172449,مام رول اسکلاره مدل Action Control حجم 120 میلی‌لیتر,,
27481588,2026-04-13,Barzegar,5,من بلند کننده اش و گرفتم عالی بود خیلی خوب خشک شد .نمی‌ریزه و اطراف چشم و سیاه نمیکنه عالی بود,41293677,ریمل هدی موجی hudamoji در سه مدل,علی خلیلی,از خرید شما سپاسگذاریم، همچنین سفارش بعدیتون رو براتون رایگان ارسال میکنیم 
27385230,2026-04-10,tarane,5,سریع ارسال شد ،با کیفیت بود بسته بندی عالی وبرخورد غرفه دار بسیار خوب👌,35209120,شامپو آرگان لایتنس 900 میل اصل,علی خلیلی,سلام از خرید شما سپاسگذارم یادتون نره برای خرید بعدیتون حتما ازم کد تخفیف بگیرید 
27329989,2026-04-08,دوست باسلامی,3,پیگیری و ارسال عالی بود فقط تاریخ انقضای محصول مشکل داشت که من عجله داشتم آنچنان دیگه برام مهم نبود توی یک دفعه اما درکل همه چیز عالی بود و حتی محصول هم کاملا اصل بود,40115245,اسپری ضدتعریق زنانه رکسونا Rexona مدل Powder Dry روسی,علی خلیلی,سلام بله مشکل از سمت ما بوده امیدواریم دیگه این مشکل پیش نیاد در آینده که مشتری عزیزمون هم به خاطر تازه کار بودن ما این مورد رو ازش چشم پوشی کردن که در سفارش بعدی همراه با کد تخفیف از دلتون در میاریم 
27329522,2026-04-08,زهراحجازی,5,خرید خوبی بود از کیفیت محصولات و نحوه ی برخورد غرفه دار محترم راضی هستم. خدا به کسب و کارتون برکت بده انشالله.,39895636,رژلب مایع خرسی Gege Bear مدل Tender Lip | مات و مخملی,علی خلیلی,از خرید شما سپاسگذارم 
27316970,2026-04-08,النا عیوض پور,5,اصل و عالی.,35209738,پد آرایش پاککن سکه ای ایپک Ipek بسته 70 عددی,,
27316916,2026-04-08,النا عیوض پور,5,خیلی قشنگه.,38801748,رژ لب مایع کیکو میلانو Kiko Milano (های کپی),,
27274449,2026-04-07,farahani,5,قیمت و برخورد فروشنده واقعا خیلی خوب بود,39172449,مام رول اسکلاره مدل Action Control حجم 120 میلی‌لیتر,علی خلیلی,در خدمت شما هستیم به امید روز های بهتر 
27176820,2026-04-05,محمدی,5,سریع فرستادن بدون دنگ و فنگ,37308846,دستمال مرطوب فیری مدل Lilyum بسته 100 عددی,علی خلیلی,سلام ممنون از ثبت نظر شما 
27132411,2026-04-03,غزل,5,کیفیتش عالی بود به صورتم خوابید اصل بود و خیلی سریعم به دستم رسید بسته بندیشم عالی بود,38615116,کرم پودر گابرینی تیوپی مدل Derma اصل,علی خلیلی,سلام از خرید شما سپاسگذاریم 
27071495,2026-03-31,نیلوفر غلامیان,5,ارسال سریع,39897679,ضد آفتاب بیرنگ استلین SPF 50 (50 گرم) – Estelin,علی خلیلی,سلام ممنونم بابت درج نظر 
27022483,2026-03-30,سنا کرمی,5,سلام ممنونم از غرفه دار عالی و با کیفیت رسید دستم با بسته بندی عالی رنگ رژ لب با عکس یکی بود من شماره 2,39895636,رژلب مایع خرسی Gege Bear مدل Tender Lip | مات و مخملی,,
